"","X","address","attributes","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state"
"747",2425,"2601 W Beltline Hwy","{'GoodForKids': 'False', 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'HappyHour': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '2', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'Smoking': ""u'no'"", 'GoodForDancing': 'False', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True'}","2YlUn3s132hNq5ueGeIiJg","Bars, Cocktail Bars, Nightlife, American (New), American (Traditional), Restaurants, Beer Bar","Madison","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '11:0-22:0'}",1,43.034735369,-89.4225611388,"Bonfyre American Grille","53713",238,3.5,"WI"
"752",2435,"610 Junction Rd, Ste 107","{'HasTV': 'True', 'HappyHour': 'True', 'WiFi': ""u'free'"", 'GoodForDancing': 'False', 'Caters': 'False', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'DriveThru': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'Smoking': ""u'no'"", 'Music': ""{'dj': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'CoatCheck': 'False', 'RestaurantsGoodForGroups': 'True'}","fqeHgAtcUxp2ocf_RLErkg","Burgers, Pubs, Bars, Restaurants, American (New), Nightlife","Madison","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-23:0'}",1,43.0733000354,-89.5266863331,"Mr. Brews Taphouse All American Burgers","53717",99,4,"WI"
"775",2506,"2089 Atwood Ave","{'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'Corkage': 'True', 'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'BYOBCorkage': ""'yes_corkage'"", 'RestaurantsReservations': 'False'}","i60v66vwf1A13YqcIqGD_A","Restaurants, Vegetarian, Diners, American (Traditional)","Madison","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-22:0', 'Saturday': '7:30-22:0', 'Sunday': '7:30-21:0'}",1,43.09242,-89.3518969,"Monty's Blue Plate Diner","53704",520,4,"WI"
"803",2623,"505 State St","{'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'HasTV': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'False'}","jaoFwU5mqxtw2JpZrM73Yg","Restaurants, Japanese","Madison","{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-22:30'}",0,43.0746726,-89.3939651,"Osaka House","53703",36,2.5,"WI"
"839",2751,"803 State St","{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'free'"", 'HasTV': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'""}","RxacBKbziwvC5afDcZS5zg","Event Planning & Services, Restaurants, American (Traditional), Wedding Planning, American (New), Venues & Event Spaces","Madison","{'Monday': '7:30-14:0', 'Tuesday': '7:30-14:0', 'Wednesday': '7:30-14:0', 'Thursday': '7:30-14:0', 'Friday': '7:30-14:0'}",1,43.0746989519,-89.3992268386,"The University Club","53703",9,4,"WI"
"845",2774,"107 King St","{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Caters': 'True', 'OutdoorSeating': 'True'}","MR8VDdN8PclEFt4BpBO3bw","Food, Cafes, Coffee & Tea, Breakfast & Brunch, Restaurants","Madison","{'Monday': '6:30-18:0', 'Tuesday': '6:30-18:0', 'Wednesday': '6:30-18:0', 'Thursday': '6:30-18:0', 'Friday': '6:30-18:0', 'Saturday': '6:0-15:30', 'Sunday': '7:0-15:30'}",1,43.0744759,-89.3811339,"Ancora Coffee","53703",70,4,"WI"
"937",3071,"908 E Johnson St","{'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'free'"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","yvqMh9kTv3Kx-tocc0DFBQ","Bars, Breakfast & Brunch, Pubs, Coffee & Tea, Food, Nightlife, Restaurants, Beer, Wine & Spirits","Madison","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-20:0'}",1,43.084781,-89.376208,"Johnson Public House","53703",160,4,"WI"
"944",3094,"2502 E Springs Dr","{'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Nn5gon8s64jVOZA-2ZkLcA","Sports Bars, Restaurants, American (Traditional), Bars, Nightlife","Madison","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}",1,43.13135,-89.298486,"TGI Fridays","53704",34,3,"WI"
"1067",3467,"658 State St","{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","8Rydf8hXleCwbCN9nvmZ4Q","Fast Food, Restaurants, Mexican","Madison","{'Monday': '10:45-22:0', 'Tuesday': '10:45-22:0', 'Wednesday': '10:45-22:0', 'Thursday': '10:45-22:0', 'Friday': '10:45-22:0', 'Saturday': '10:45-22:0', 'Sunday': '10:45-22:0'}",1,43.0751466,-89.3965677,"Chipotle Mexican Grill","53703",41,4,"WI"
"1141",3675,"201 W Gorham St","{'GoodForKids': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2'}","k7-UuMFIGcbgmP6RY0Gn_Q","Nightlife, Lounges, Restaurants, Bars","Madison",NA,0,43.075138,-89.39081,"Crave Restaurant & Lounge","53703",7,3.5,"WI"
"1203",3882,"309 N Henry St","{'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'Caters': 'False', 'WiFi': ""u'no'""}","u6sbx5j-06KmPxUwY_mDqg","Hot Dogs, Restaurants","Madison","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-2:0', 'Friday': '10:0-3:0', 'Saturday': '10:0-3:0', 'Sunday': '12:0-18:0'}",0,43.0751242,-89.390236,"Mad Dogs Eatery","53703",18,3.5,"WI"
"1344",4324,"1441 Regent St","{'HasTV': 'False', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""'free'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True'}","j1i7s55PmOFzJC3l6O8PiA","Chinese, Cantonese, Restaurants","Madison","{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:30'}",1,43.067569,-89.410727,"Hong Kong Station","53711",46,3.5,"WI"
"1350",4342,"603 State St","{'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'WiFi': ""u'free'"", 'GoodForKids': 'False', 'CoatCheck': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'False', 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'very_loud'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'GoodForDancing': 'False', 'Smoking': ""u'outdoor'"", 'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Music': ""{'dj': False, 'background_music': True, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","L772e6l2Yd0DJEyCBxBNng","Sports Bars, Restaurants, American (Traditional), Nightlife, Bars","Madison","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}",1,43.074776,-89.395948,"State Street Brats","53703",200,3,"WI"
"1437",4612,"232 E Towne Mall","{'GoodForDancing': 'False', 'OutdoorSeating': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BikeParking': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'False', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True'}","ajNgLG4Eev8GQYZeMBPpdA","Restaurants, American (Traditional), Breakfast & Brunch, Nightlife, Bars, Pubs, American (New)","Madison","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '8:0-1:0', 'Sunday': '8:0-0:0'}",1,43.1282826,-89.3042583,"Lulu's 13 Pub","53704",47,3.5,"WI"
